AT,V,AP,RH,PE
8.34,40.77,1010.84,90.01,480.48
23.64,58.49,1011.4,74.2,445.75
29.74,56.9,1007.15,41.91,438.76
19.07,49.69,1007.22,76.79,453.09
11.8,40.66,1017.13,97.2,464.43
13.97,39.16,1016.05,84.6,470.96
22.1,71.29,1008.2,75.38,442.35
14.47,41.76,1021.98,78.41,464
31.25,69.51,1010.25,36.83,428.77
6.77,38.18,1017.8,81.13,484.31
28.28,68.67,1006.36,69.9,435.29
22.99,46.93,1014.15,49.42,451.41
29.3,70.04,1010.95,61.23,426.25
8.14,37.49,1009.04,80.33,480.66
16.92,44.6,1017.34,58.75,460.17
22.72,64.15,1021.14,60.34,453.13
18.14,43.56,1012.83,47.1,461.71
11.49,44.63,1020.44,86.04,471.08
9.94,40.46,1018.9,68.51,473.74
